InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
553546,21791,VINTAGE HEADS AND TAILS CARD GAME ,144,5/17/11 15:42,1.06,12415,Australia
559134,23202,JUMBO BAG VINTAGE LEAF,10,7/6/11 13:14,2.08,12700,France
570467,21891,TRADITIONAL WOODEN SKIPPING ROPE,12,10/10/11 16:06,1.45,12607,USA
578541,22663,JUMBO BAG DOLLY GIRL DESIGN,3,11/24/11 15:01,2.08,14277,France
574501,21374,MIRRORED WALL ART SKULLS,3,11/4/11 13:15,1.25,12577,France
571937,16045,POPART WOODEN PENCILS ASST,100,10/20/11 9:28,0.04,14911,EIRE
570388,48188,DOORMAT WELCOME PUPPIES,2,10/10/11 12:37,8.25,14911,EIRE
556517,15036,ASSORTED COLOURS SILK FAN,12,6/13/11 10:52,0.83,12481,Germany
560283,23035,DRAWER KNOB CERAMIC IVORY,6,7/18/11 8:32,1.45,,EIRE
555095,23230,WRAP ALPHABET DESIGN,25,5/31/11 13:32,0.42,12540,Spain
542648,21484,CHICK GREY HOT WATER BOTTLE,4,1/31/11 11:46,3.45,12476,Germany
537468,22531,MAGIC DRAWING SLATE CIRCUS PARADE  ,24,12/7/10 10:36,0.42,12567,France
565303,22532,MAGIC DRAWING SLATE LEAP FROG ,2,9/2/11 12:17,0.42,,Unspecified
568221,85017B,ENVELOPE 50 BLOSSOM IMAGES,12,9/26/11 10:05,0.42,14911,EIRE
568048,23172,REGENCY TEA PLATE PINK,12,9/23/11 12:36,1.65,14911,EIRE
574336,23388,WOODLAND MINI BACKPACK,4,11/4/11 9:52,4.15,12397,Belgium
548993,22637,PIGGY BANK RETROSPOT ,48,4/5/11 13:56,2.1,12753,Japan
536974,15056P,EDWARDIAN PARASOL PINK,3,12/3/10 13:59,5.95,12682,France
570841,21931,JUMBO STORAGE BAG SUKI,10,10/12/11 14:18,2.08,12553,France
559521,22662,LUNCH BAG DOLLY GIRL DESIGN,10,7/8/11 16:26,1.65,,Unspecified
545718,47585A,PINK FAIRY CAKE CUSHION COVER,4,3/7/11 10:22,3.75,12614,Germany
575692,22744,MAKE YOUR OWN MONSOON CARD KIT,1,11/10/11 16:27,2.95,12508,France
567721,84968E,SET OF 16 VINTAGE BLACK CUTLERY,24,9/22/11 10:38,10.95,12409,Switzerland
562537,23272,TREE T-LIGHT HOLDER WILLIE WINKIE,12,8/5/11 15:02,1.65,12517,Germany
545645,22654,DELUXE SEWING KIT ,1,3/4/11 12:42,5.95,12755,Japan
543121,22326,ROUND SNACK BOXES SET OF4 WOODLAND ,6,2/3/11 13:58,2.95,12662,Germany
576371,22186,RED STAR CARD HOLDER,12,11/15/11 8:07,1.95,14911,EIRE
574059,23416,CHAMBRE HOOK,1,11/2/11 14:13,1.65,14646,Netherlands
536370,22544,MINI JIGSAW SPACEBOY,24,12/1/10 8:45,0.42,12583,France
578043,20719,WOODLAND CHARLOTTE BAG,40,11/22/11 14:39,0.85,12474,Germany
577609,23113,PANTRY CHOPPING BOARD,3,11/21/11 9:51,4.95,12349,Italy
557328,22716,CARD CIRCUS PARADE,1,6/20/11 9:53,0.42,14646,Netherlands
561471,23300,GARDENERS KNEELING PAD CUP OF TEA ,24,7/27/11 13:14,1.65,14911,EIRE
570703,22617,BAKING SET SPACEBOY DESIGN,3,10/12/11 9:50,4.95,14911,EIRE
540976,22659,LUNCH BOX I LOVE LONDON,12,1/12/11 15:00,1.95,12652,France
553148,84563A,PINK & WHITE BREAKFAST TRAY,4,5/13/11 14:09,2.95,,Hong Kong
557889,23240,SET OF 4 KNICK KNACK TINS DOILEY ,12,6/23/11 13:51,4.15,12412,Denmark
562789,23347,I LOVE LONDON BEAKER,1,8/9/11 13:50,1.25,14646,Netherlands
547789,22670,FRENCH WC SIGN BLUE METAL,12,3/25/11 12:04,1.25,14911,EIRE
557263,20726,LUNCH BAG WOODLAND,100,6/19/11 11:08,1.45,14646,Netherlands
550145,22963,JAM JAR WITH GREEN LID,12,4/14/11 14:15,0.85,12637,France
578488,22196,SMALL HEART MEASURING SPOONS,1,11/24/11 12:53,0.85,12784,Portugal
568994,23372,SET 36 COLOUR PENCILS DOLLY GIRL,16,9/29/11 16:52,1.25,12598,France
557466,21731,RED TOADSTOOL LED NIGHT LIGHT,12,6/20/11 13:08,1.65,13815,Germany
552946,22899,CHILDREN'S APRON DOLLY GIRL ,6,5/12/11 11:50,2.1,12683,France
567293,22192,BLUE DINER WALL CLOCK,2,9/19/11 12:01,8.5,12640,France
569844,22746,POPPY'S PLAYHOUSE LIVINGROOM ,6,10/6/11 13:30,2.1,12626,Germany
562670,85053,FRENCH ENAMEL CANDLEHOLDER,6,8/8/11 13:42,2.1,14911,EIRE
577178,22617,BAKING SET SPACEBOY DESIGN,3,11/18/11 11:10,4.95,12618,Italy
572559,23571,TRADITIONAL NAUGHTS & CROSSES,12,10/25/11 8:44,1.65,12476,Germany
537818,20685,DOORMAT RED RETROSPOT,2,12/8/10 13:53,7.95,12766,Portugal
549667,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,4/11/11 12:20,2.95,14911,EIRE
563037,21981,PACK OF 12 WOODLAND TISSUES ,24,8/11/11 15:02,0.29,12362,Belgium
540976,48138,DOORMAT UNION FLAG,2,1/12/11 15:00,7.95,12652,France
541269,22635,CHILDS BREAKFAST SET DOLLY GIRL ,2,1/17/11 11:01,9.95,12626,Germany
559782,21430,SET/3 RED GINGHAM ROSE STORAGE BOX,4,7/12/11 11:55,3.75,12722,France
578082,22340,NOEL GARLAND PAINTED ZINC ,24,11/22/11 16:33,0.39,12775,Netherlands
567300,22659,LUNCH BOX I LOVE LONDON,12,9/19/11 12:36,1.95,12724,France
543188,22961,JAM MAKING SET PRINTED,12,2/4/11 11:45,1.45,12567,France
561911,22469,HEART OF WICKER SMALL,12,8/1/11 10:26,1.65,12534,Germany
544355,84821,DANISH ROSE DELUXE COASTER,12,2/18/11 10:53,0.85,12714,France
560451,23173,REGENCY TEAPOT ROSES ,4,7/19/11 9:50,9.95,14911,EIRE
577228,23048,SET OF 10 LANTERNS FAIRY LIGHT STAR,1,11/18/11 12:07,4.15,12391,Cyprus
561037,23287,RED VINTAGE SPOT BEAKER,8,7/24/11 11:55,0.85,12472,Germany
567578,16014,SMALL CHINESE STYLE SCISSOR,20,9/21/11 10:47,0.42,12701,Germany
578331,22697,GREEN REGENCY TEACUP AND SAUCER,6,11/24/11 8:44,2.95,14911,EIRE
563037,22891,TEA FOR ONE POLKADOT,3,8/11/11 15:02,4.25,12362,Belgium
579102,23174,REGENCY SUGAR BOWL GREEN,4,11/28/11 11:33,4.15,14911,EIRE
538397,85032B,BLOSSOM IMAGES GIFT WRAP SET,48,12/12/10 11:44,2.1,12753,Japan
560997,20726,LUNCH BAG WOODLAND,20,7/22/11 13:59,1.65,12627,Germany
572035,23494,VINTAGE DOILY DELUXE SEWING KIT ,40,10/20/11 12:03,4.95,14646,Netherlands
572069,23319,BOX OF 6 MINI 50'S CRACKERS,6,10/20/11 13:24,2.49,14911,EIRE
559372,22494,EMERGENCY FIRST AID TIN ,12,7/8/11 10:23,1.25,12461,Switzerland
560635,23268,SET OF 2 CERAMIC CHRISTMAS REINDEER,12,7/20/11 10:51,1.45,12521,Germany
573999,21824,PAINTED METAL STAR WITH HOLLY BELLS,48,11/2/11 11:43,0.39,12779,Poland
545475,22715,CARD WEDDING DAY,144,3/3/11 10:59,0.36,12415,Australia
560694,23208,LUNCH BAG VINTAGE LEAF DESIGN,10,7/20/11 12:05,1.65,12757,Portugal
558046,22831,WHITE BROCANTE SOAP DISH,6,6/24/11 13:47,2.95,,EIRE
566816,84029E,RED WOOLLY HOTTIE WHITE HEART.,24,9/15/11 10:53,3.75,12731,France
538255,22909,SET OF 20 VINTAGE CHRISTMAS NAPKINS,12,12/10/10 12:33,0.85,14911,EIRE
564337,16237,SLEEPING CAT ERASERS,30,8/24/11 14:40,0.21,12649,Germany
578539,22531,MAGIC DRAWING SLATE CIRCUS PARADE  ,24,11/24/11 14:55,0.42,,Unspecified
569562,22326,ROUND SNACK BOXES SET OF4 WOODLAND ,6,10/5/11 9:43,2.95,12720,Germany
554097,22231,JIGSAW TREE WITH BIRDHOUSE,12,5/22/11 13:01,1.45,12567,France
566739,22045,SPACEBOY GIFT WRAP,25,9/14/11 14:30,0.42,12566,Germany
544479,85194L,HANGING SPRING FLOWER EGG LARGE,144,2/21/11 10:28,0.72,14646,Netherlands
569568,23051,RECYCLED ACAPULCO MAT BLUE,2,10/5/11 9:57,8.25,12700,France
552883,21975,PACK OF 60 DINOSAUR CAKE CASES,120,5/12/11 10:13,0.42,14646,Netherlands
554985,22365,DOORMAT RESPECTABLE HOUSE,2,5/29/11 12:26,7.95,12426,Germany
565442,23289,DOLLY GIRL CHILDRENS BOWL,8,9/4/11 14:09,1.25,12627,Germany
561911,22962,JAM JAR WITH PINK LID,12,8/1/11 10:26,0.85,12534,Germany
579094,21535,RED RETROSPOT SMALL MILK JUG,6,11/28/11 10:56,2.55,12668,Germany
539731,22352,LUNCH BOX WITH CUTLERY RETROSPOT ,60,12/21/10 15:05,2.1,14646,Netherlands
541570,22972,CHILDREN'S SPACEBOY MUG,48,1/19/11 12:34,1.45,14646,Netherlands
563854,21977,PACK OF 60 PINK PAISLEY CAKE CASES,24,8/19/11 15:24,0.55,12364,Belgium
559441,22551,PLASTERS IN TIN SPACEBOY,24,7/8/11 12:22,1.65,12583,France
563756,22539,MINI JIGSAW DOLLY GIRL,24,8/19/11 11:08,0.42,12418,Switzerland
548745,23051,RECYCLED ACAPULCO MAT BLUE,2,4/4/11 12:10,8.25,12471,Germany
541965,22666,RECIPE BOX PANTRY YELLOW DESIGN,12,1/24/11 13:27,2.95,12625,Germany
557621,22627,MINT KITCHEN SCALES,4,6/21/11 14:00,8.5,12444,Norway
573999,23159,SET OF 5 PANCAKE DAY MAGNETS,12,11/2/11 11:43,2.08,12779,Poland
568654,20934,SET/3 POT PLANT CANDLES,4,9/28/11 12:20,5.45,14911,EIRE
539050,22801,ANTIQUE GLASS PEDESTAL BOWL,1,12/15/10 16:21,3.75,12577,France
567968,22742,MAKE YOUR OWN PLAYTIME CARD KIT,6,9/23/11 9:44,2.95,12546,Spain
572061,22492,MINI PAINT SET VINTAGE ,36,10/20/11 12:53,0.65,12474,Germany
562275,22661,CHARLOTTE BAG DOLLY GIRL DESIGN,10,8/4/11 10:04,0.85,12689,France
567929,23204,CHARLOTTE BAG APPLES DESIGN,10,9/22/11 17:31,0.85,12425,Portugal
