InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
546365,22138,BAKING SET 9 PIECE RETROSPOT ,3,3/11/11 11:35,4.95,12520,Germany
570000,85203,HANGING WOOD AND FELT BUTTERFLY ,24,10/7/11 8:55,0.42,12420,Cyprus
550899,47590B,PINK HAPPY BIRTHDAY BUNTING,3,4/21/11 12:07,5.45,13505,Switzerland
571065,21670,BLUE SPOT CERAMIC DRAWER KNOB,24,10/13/11 14:59,1.45,12613,Germany
548968,21947,SET OF 6 HEART CHOPSTICKS,24,4/5/11 10:58,1.25,12744,Singapore
555383,22417,PACK OF 60 SPACEBOY CAKE CASES,6,6/2/11 15:13,0.55,12517,Germany
550188,47594A,CAROUSEL DESIGN WASHBAG,6,4/14/11 18:57,1.95,12457,Switzerland
564565,48184,DOORMAT ENGLISH ROSE ,2,8/26/11 10:50,7.95,14911,EIRE
555383,21828,EIGHT PIECE SNAKE  SET,2,6/2/11 15:13,1.25,12517,Germany
540550,22968,ROSE COTTAGE KEEPSAKE BOX ,2,1/10/11 9:11,9.95,12539,Spain
576051,22962,JAM JAR WITH PINK LID,12,11/13/11 14:45,0.85,14911,EIRE
567795,22631,CIRCUS PARADE LUNCH BOX ,12,9/22/11 11:44,1.95,14646,Netherlands
543899,84798B,PURPLE FOXGLOVE ARTIIFCIAL FLOWER,4,2/14/11 12:11,2.55,,EIRE
542276,21784,SHOE SHINE BOX ,4,1/27/11 10:19,9.95,12764,Lebanon
561798,22423,REGENCY CAKESTAND 3 TIER,4,7/29/11 13:39,12.75,14911,EIRE
560451,23015,CORDIAL GLASS JUG,2,7/19/11 9:50,8.25,14911,EIRE
560991,23317,BLUE REFECTORY CLOCK ,2,7/22/11 13:29,9.95,12438,Norway
539395,21578,WOODLAND DESIGN  COTTON TOTE BAG,12,12/17/10 11:52,2.25,12471,Germany
557675,21915,RED  HARMONICA IN BOX ,24,6/22/11 10:27,1.25,,Hong Kong
552882,23131,MISELTOE HEART WREATH WHITE,48,5/12/11 10:10,3.75,14646,Netherlands
564670,22435,SET OF 9 HEART SHAPED BALLOONS,90,8/26/11 15:44,1.06,12683,France
546520,47590A,BLUE HAPPY BIRTHDAY BUNTING,3,3/14/11 12:28,5.45,14911,EIRE
573106,22736,RIBBON REEL MAKING SNOWMEN ,10,10/27/11 15:05,1.65,12626,Germany
569650,23526,DOG LICENCE WALL ART,180,10/5/11 12:44,5.35,12415,Australia
567578,22278,OVERNIGHT BAG VINTAGE ROSE PAISLEY,3,9/21/11 10:47,4.95,12701,Germany
565928,84978,HANGING HEART JAR T-LIGHT HOLDER,36,9/8/11 10:09,1.06,,EIRE
560473,21481,FAWN BLUE HOT WATER BOTTLE,6,7/19/11 10:42,2.95,12431,Australia
543411,21896,POTTING SHED TWINE,6,2/8/11 11:31,2.1,12576,Poland
546920,20719,WOODLAND CHARLOTTE BAG,10,3/18/11 9:55,0.85,12471,Germany
538008,22909,SET OF 20 VINTAGE CHRISTMAS NAPKINS,12,12/9/10 12:17,0.85,12683,France
561898,23160,REGENCY TEA SPOON,24,7/31/11 15:25,1.25,12456,Switzerland
567968,22150,3 STRIPEY MICE FELTCRAFT,6,9/23/11 9:44,1.95,12546,Spain
562605,90070,RUBY GLASS CLUSTER BRACELET,3,8/8/11 10:59,5.95,12530,Germany
544069,22628,PICNIC BOXES SET OF 3 RETROSPOT ,4,2/15/11 14:17,4.95,12616,France
547365,84970S,HANGING HEART ZINC T-LIGHT HOLDER,12,3/22/11 12:36,0.85,12775,Netherlands
554940,22412,METAL SIGN NEIGHBOURHOOD WITCH ,12,5/27/11 13:49,2.1,12494,France
543833,21621,VINTAGE UNION JACK BUNTING,2,2/14/11 10:24,8.5,12476,Germany
541120,22551,PLASTERS IN TIN SPACEBOY,12,1/14/11 9:13,1.65,12490,France
576890,20914,SET/5 RED RETROSPOT LID GLASS BOWLS,6,11/16/11 17:25,2.95,12662,Germany
539722,22171,3 HOOK PHOTO SHELF ANTIQUE WHITE,2,12/21/10 13:45,8.5,14911,EIRE
549222,21791,VINTAGE HEADS AND TAILS CARD GAME ,12,4/7/11 10:43,1.25,12347,Iceland
544585,22861,EASTER TIN CHICKS IN GARDEN,12,2/21/11 14:58,1.65,12523,France
573891,23240,SET OF 4 KNICK KNACK TINS DOILY ,6,11/1/11 13:56,4.15,12682,France
560901,85054,FRENCH ENAMEL POT W LID,6,7/21/11 17:39,2.95,12476,Germany
537897,22661,CHARLOTTE BAG DOLLY GIRL DESIGN,20,12/9/10 10:37,0.85,12683,France
563756,22915,ASSORTED BOTTLE TOP  MAGNETS ,12,8/19/11 11:08,0.42,12418,Switzerland
572035,21558,SKULL LUNCH BOX WITH CUTLERY ,60,10/20/11 12:03,2.1,14646,Netherlands
572695,22186,RED STAR CARD HOLDER,12,10/25/11 14:23,1.95,12610,Italy
547882,35914,PINK CHICK EGG WARMER + EGG CUP,12,3/28/11 7:53,0.85,14911,EIRE
567653,22389,PAPERWEIGHT SAVE THE PLANET,6,9/21/11 14:35,2.55,12550,Spain
554097,22516,CHILDS GARDEN RAKE BLUE,6,5/22/11 13:01,2.1,12567,France
538826,21381,MINI WOODEN HAPPY BIRTHDAY GARLAND,24,12/14/10 12:58,1.69,12370,Cyprus
567578,22149,FELTCRAFT 6 FLOWER FRIENDS,6,9/21/11 10:47,2.1,12701,Germany
546365,22509,SEWING BOX RETROSPOT DESIGN ,1,3/11/11 11:35,16.95,12520,Germany
571318,23506,MINI PLAYING CARDS SPACEBOY ,250,10/17/11 10:50,0.42,17404,Sweden
542720,22421,LIPSTICK PEN FUSCHIA,12,1/31/11 14:35,0.42,12778,Netherlands
563076,23281,FOLDING BUTTERFLY MIRROR RED  ,96,8/11/11 16:12,0.72,14646,Netherlands
581003,22474,SPACEBOY TV DINNER TRAY,8,12/7/11 8:38,1.95,14911,EIRE
541518,85054,FRENCH ENAMEL POT W LID,24,1/19/11 9:05,1.25,12451,Switzerland
539391,22666,RECIPE BOX PANTRY YELLOW DESIGN,6,12/17/10 11:51,2.95,12417,Belgium
576653,23236,STORAGE TIN VINTAGE DOILY ,48,11/16/11 10:45,2.49,14156,EIRE
561631,22966,GINGERBREAD MAN COOKIE CUTTER,12,7/28/11 14:27,1.25,14911,EIRE
563373,21481,FAWN BLUE HOT WATER BOTTLE,6,8/16/11 10:02,2.95,12569,Germany
542238,22261,FELT EGG COSY WHITE RABBIT ,12,1/26/11 14:35,0.85,12591,Italy
543822,22585,PACK OF 6 BIRDY GIFT TAGS,24,2/14/11 9:24,1.25,12507,Spain
546678,21700,BIG DOUGHNUT FRIDGE MAGNETS,12,3/15/11 16:39,0.85,12681,France
574587,23284,DOORMAT KEEP CALM AND COME IN,4,11/6/11 10:29,8.25,14936,Channel Islands
546541,22079,RIBBON REEL HEARTS DESIGN ,10,3/14/11 15:11,1.65,14911,EIRE
545718,21110,LARGE CAKE TOWEL PINK SPOTS,2,3/7/11 10:22,6.75,12614,Germany
548993,21218,RED SPOTTY BISCUIT TIN,72,4/5/11 13:56,3.25,12753,Japan
542713,22646,CERAMIC STRAWBERRY CAKE MONEY BANK,12,1/31/11 13:27,1.45,12668,Germany
552956,23155,KNICKERBOCKERGLORY MAGNET ASSORTED ,12,5/12/11 12:34,0.83,12431,Australia
575692,22620,4 TRADITIONAL SPINNING TOPS,3,11/10/11 16:27,1.45,12508,France
570700,22699,ROSES REGENCY TEACUP AND SAUCER ,6,10/12/11 9:29,2.95,14156,EIRE
564372,20750,RED RETROSPOT MINI CASES,6,8/25/11 9:55,7.95,12714,France
563353,22138,BAKING SET 9 PIECE RETROSPOT ,3,8/15/11 14:32,4.95,15480,Malta
562670,21975,PACK OF 60 DINOSAUR CAKE CASES,24,8/8/11 13:42,0.55,14911,EIRE
576927,23115,RED APPLES CHOPPING BOARD   ,3,11/17/11 11:02,4.95,12567,France
553666,21232,STRAWBERRY CERAMIC TRINKET BOX,72,5/18/11 12:18,1.06,12679,France
545017,22630,DOLLY GIRL LUNCH BOX,12,2/25/11 13:51,1.95,12361,Belgium
552337,22730,ALARM CLOCK BAKELIKE IVORY,4,5/9/11 11:34,3.75,12621,Germany
