goodForGroups,city,state,latitude,longitude,stars,reviewCount,checkins,open,alcohol,noiseLevel,attire,priceRange,delivery,waiterService,smoking,outdoorSeating,caters,goodForKids
1,Scottsdale,AZ,33.5014298,-111.9211921,4,24,210,FALSE,full_bar,,,2,,,outdoor,TRUE,,
0,Las Vegas,NV,36.1033743,-115.1693962,3,14,210,TRUE,none,,,2,,,,FALSE,,
0,Phoenix,AZ,33.638907,-111.979435,2.5,18,210,TRUE,none,,,2,,,,TRUE,,
0,Las Vegas,NV,36.1585487,-115.3111863,3.5,39,210,TRUE,none,,,1,,,,,,
0,Chandler,AZ,33.319526,-111.927302,4,23,210,TRUE,none,,,2,,,,TRUE,,
0,Las Vegas,NV,36.11447287,-115.2951362,4,40,210,TRUE,none,,,2,,,,,,
0,Las Vegas,NV,36.1588299,-115.048602,4,9,210,TRUE,none,,,2,,TRUE,,,,
1,Las Vegas,NV,36.128563,-115.279582,3,27,211,TRUE,full_bar,average,casual,2,FALSE,TRUE,yes,FALSE,FALSE,
1,Las Vegas,NV,36.1671901,-115.2855925,3.5,112,211,TRUE,none,average,casual,2,FALSE,TRUE,,TRUE,TRUE,
1,Pittsburgh,PA,40.439059,-80.021242,4,173,211,TRUE,full_bar,average,dressy,3,FALSE,TRUE,,FALSE,FALSE,FALSE
1,Phoenix,AZ,33.3048956,-111.9924129,3,55,211,TRUE,full_bar,average,casual,2,TRUE,TRUE,,TRUE,FALSE,FALSE
1,Peoria,AZ,33.6110876,-112.2399241,4,90,211,TRUE,beer_and_wine,average,casual,2,FALSE,FALSE,,FALSE,FALSE,
1,Phoenix,AZ,33.69482782,-112.0023065,2.5,27,211,TRUE,none,average,casual,1,FALSE,FALSE,,TRUE,TRUE,
1,Las Vegas,NV,36.0944116,-115.2973533,4,151,211,FALSE,none,quiet,casual,1,FALSE,FALSE,,TRUE,FALSE,
1,Phoenix,AZ,33.609811,-112.119194,4,88,211,TRUE,none,average,casual,1,FALSE,TRUE,,FALSE,TRUE,
1,North Las Vegas,NV,36.2395163,-115.171859,2.5,27,211,TRUE,none,quiet,casual,2,FALSE,TRUE,,TRUE,FALSE,
1,Las Vegas,NV,36.1260725,-115.2114903,4,61,211,FALSE,none,quiet,casual,2,FALSE,FALSE,,FALSE,FALSE,
1,Chandler,AZ,33.3052327,-111.9000158,3.5,30,211,TRUE,none,loud,casual,1,FALSE,TRUE,,FALSE,FALSE,
0,Madison,WI,43.0823589,-89.379704,4.5,140,211,TRUE,full_bar,average,casual,3,FALSE,,,FALSE,TRUE,
0,Monona,WI,43.0472393,-89.3238096,4,11,211,TRUE,none,,,1,,,,FALSE,,
0,Surprise,AZ,33.638892,-112.352244,3,27,211,TRUE,none,,,2,,,,TRUE,,
0,Las Vegas,NV,36.132468,-115.155494,3,14,211,TRUE,none,,,2,,,,FALSE,,
0,Phoenix,AZ,33.4803038,-112.0328792,3.5,8,211,TRUE,none,,,1,,TRUE,,,,
1,Tempe,AZ,33.3778109,-111.9371266,3,30,212,TRUE,full_bar,average,casual,1,FALSE,TRUE,outdoor,TRUE,TRUE,
1,Glendale,AZ,33.6386047,-112.1877117,3.5,12,212,TRUE,full_bar,loud,casual,1,FALSE,FALSE,outdoor,TRUE,FALSE,
