goodForGroups,city,state,latitude,longitude,stars,reviewCount,checkins,open,alcohol,noiseLevel,attire,priceRange,delivery,waiterService,smoking,outdoorSeating,caters,goodForKids
1,Tempe,AZ,33.4150348,-111.9184724,2.5,35,3,FALSE,none,very_loud,casual,1,TRUE,TRUE,yes,TRUE,TRUE,FALSE
1,Champaign,IL,40.109335,-88.23084,2,13,3,FALSE,full_bar,loud,casual,1,TRUE,TRUE,outdoor,TRUE,,
1,Edinburgh,EDH,55.9387703,-3.1817486,4.5,14,3,TRUE,full_bar,quiet,casual,3,FALSE,TRUE,,FALSE,,
1,Edinburgh,EDH,55.9321755,-3.2095185,3.5,11,3,TRUE,full_bar,quiet,casual,2,TRUE,TRUE,,FALSE,,
1,Las Vegas,NV,36.119556,-115.173336,3,65,3,TRUE,full_bar,loud,casual,2,FALSE,TRUE,,FALSE,FALSE,FALSE
1,Charlotte,NC,35.203609,-80.801695,4,6,3,TRUE,full_bar,,casual,2,FALSE,TRUE,no,FALSE,,
1,Pittsburgh,PA,40.455289,-79.996929,3.5,4,3,TRUE,full_bar,average,casual,1,,FALSE,yes,FALSE,,
1,Champaign,IL,40.110186,-88.2430452,3.5,14,3,TRUE,none,average,casual,1,FALSE,TRUE,,FALSE,FALSE,TRUE
1,Matthews,NC,35.10503,-80.683789,4.5,11,3,TRUE,beer_and_wine,average,casual,1,FALSE,TRUE,,FALSE,TRUE,
1,Madison,WI,43.0745593,-89.3893857,3.5,9,3,FALSE,full_bar,average,casual,2,FALSE,TRUE,,TRUE,TRUE,
1,Montral,QC,45.5630874,-73.6056541,3.5,3,3,TRUE,beer_and_wine,average,casual,2,FALSE,FALSE,,FALSE,FALSE,
1,Mount Holly,NC,35.2889229,-81.020392,2.5,3,3,TRUE,none,average,casual,1,FALSE,TRUE,,FALSE,FALSE,
1,Phoenix,AZ,33.5712883,-112.083589,4,8,3,FALSE,full_bar,quiet,casual,1,FALSE,FALSE,,TRUE,FALSE,TRUE
1,Las Vegas,NV,36.114821,-115.206845,1,7,3,TRUE,none,quiet,casual,2,TRUE,FALSE,,FALSE,TRUE,
1,Montral,QC,45.4931101,-73.5802893,3.5,24,3,FALSE,none,average,casual,1,FALSE,FALSE,,FALSE,FALSE,
0,Urbana,IL,40.1132101,-88.204989,3.5,15,3,TRUE,none,quiet,casual,1,FALSE,FALSE,,FALSE,TRUE,
1,Champaign,IL,40.110554,-88.232373,3.5,23,3,FALSE,none,loud,casual,1,TRUE,TRUE,,FALSE,TRUE,
1,Champaign,IL,40.1102118,-88.240273,3.5,7,3,TRUE,none,quiet,casual,1,TRUE,FALSE,,FALSE,TRUE,
1,Urbana,IL,40.116262,-88.208633,3.5,15,3,TRUE,none,average,casual,1,FALSE,TRUE,,FALSE,FALSE,
1,Avondale,AZ,33.43659852,-112.348938,4,7,3,TRUE,none,average,casual,1,FALSE,FALSE,,FALSE,TRUE,
0,Phoenix,AZ,33.4070899,-112.037968,2,9,3,TRUE,none,quiet,casual,2,TRUE,FALSE,,TRUE,,
1,Kitchener,ON,43.4514307,-80.4944781,3.5,6,3,TRUE,beer_and_wine,average,casual,2,FALSE,TRUE,,TRUE,FALSE,
1,Pittsburgh,PA,40.4535915,-80.0008071,3.5,14,3,TRUE,none,average,casual,1,TRUE,FALSE,,FALSE,FALSE,
1,Castle Shannon,PA,40.3690921,-80.0352804,4.5,5,3,TRUE,none,,casual,1,TRUE,FALSE,,TRUE,TRUE,
1,Champaign,IL,40.1399182,-88.2446387,3.5,5,3,TRUE,none,average,casual,1,FALSE,,,FALSE,,
1,Chandler,AZ,33.318955,-111.90895,3.5,8,3,TRUE,none,average,casual,2,TRUE,FALSE,,FALSE,TRUE,
0,Pittsburgh,PA,40.48975805,-80.01826046,2.5,9,3,TRUE,none,loud,casual,1,TRUE,TRUE,,FALSE,,
1,Charlotte,NC,35.194894,-80.767442,4,4,3,FALSE,full_bar,quiet,casual,1,FALSE,TRUE,,TRUE,FALSE,
1,Montreal,QC,45.4972628,-73.6230097,3,4,3,TRUE,full_bar,average,casual,2,TRUE,FALSE,yes,FALSE,,
1,Glendale,AZ,33.536509,-112.35605,4.5,4,3,FALSE,beer_and_wine,average,casual,1,FALSE,FALSE,,TRUE,FALSE,
0,Waterloo,ON,43.48214351,-80.52659195,4,4,3,TRUE,none,,casual,1,TRUE,FALSE,,FALSE,TRUE,
1,Pittsburgh,PA,40.4435037,-79.9415706,3.5,4,3,TRUE,none,quiet,casual,1,FALSE,FALSE,,FALSE,,
1,Montral,QC,45.5028747,-73.5606176,3.5,4,3,TRUE,full_bar,average,dressy,3,FALSE,FALSE,,FALSE,FALSE,
1,Charlotte,NC,35.038603,-80.794068,3.5,11,3,FALSE,beer_and_wine,average,casual,2,TRUE,,,TRUE,,
1,Karlsruhe,BW,49.0013,8.39458,2.5,20,3,TRUE,full_bar,,casual,2,,FALSE,yes,FALSE,,TRUE
1,Casa Grande,AZ,32.8795418,-111.7462311,4,3,3,TRUE,none,average,casual,1,FALSE,FALSE,,FALSE,,
1,Charlotte,NC,35.0529404,-80.7697086,5,3,3,TRUE,none,average,casual,1,TRUE,FALSE,,FALSE,FALSE,
1,Kitchener,ON,43.4517986,-80.4951934,3.5,7,3,TRUE,none,quiet,casual,2,TRUE,TRUE,,FALSE,,
1,Las Vegas,NV,36.131979,-115.177114,4,8,3,FALSE,none,quiet,casual,2,TRUE,FALSE,,FALSE,FALSE,
1,Tolleson,AZ,33.4503083,-112.2647193,3,8,3,TRUE,none,loud,casual,1,TRUE,TRUE,,FALSE,FALSE,
1,Madison,WI,43.083265,-89.32132,4,6,3,TRUE,full_bar,average,casual,2,FALSE,TRUE,,FALSE,FALSE,
1,Montral,QC,45.5784464,-73.5454171,4.5,4,3,TRUE,full_bar,quiet,casual,2,TRUE,FALSE,,FALSE,TRUE,
1,Charlotte,NC,35.3357374,-80.7669649,4,3,3,TRUE,none,average,casual,1,FALSE,TRUE,,FALSE,,
0,Montral,QC,45.475994,-73.585968,3,4,3,TRUE,full_bar,quiet,casual,2,TRUE,TRUE,,FALSE,TRUE,
1,Mesa,AZ,33.36606927,-111.8582877,3.5,3,3,TRUE,beer_and_wine,quiet,casual,2,TRUE,FALSE,,FALSE,TRUE,
1,Gilbert,AZ,33.3657298,-111.7897671,3.5,9,3,TRUE,none,average,casual,2,FALSE,TRUE,,TRUE,TRUE,
1,Fountain Hills,AZ,33.5952114,-111.714849,4,11,3,FALSE,full_bar,quiet,casual,2,FALSE,TRUE,,TRUE,FALSE,
0,Madison,WI,43.078219,-89.370951,3,18,3,TRUE,beer_and_wine,quiet,casual,2,FALSE,FALSE,,FALSE,,
1,Coolidge,AZ,32.9833969,-111.523618,4.5,4,3,TRUE,none,,casual,1,FALSE,TRUE,,TRUE,TRUE,
1,Mesa,AZ,33.3639455,-111.8614077,3,12,3,TRUE,full_bar,quiet,casual,1,TRUE,TRUE,,TRUE,TRUE,
1,Scottsdale,AZ,33.537836,-111.902836,4,5,3,TRUE,full_bar,quiet,casual,2,TRUE,TRUE,,TRUE,,
1,Montreal,QC,45.5216639,-73.577889,4.5,5,3,TRUE,full_bar,average,dressy,4,FALSE,TRUE,,TRUE,FALSE,
1,Montreal,QC,45.5137811,-73.5719662,2.5,7,3,TRUE,full_bar,,casual,2,TRUE,FALSE,,TRUE,,
1,Pittsburgh,PA,40.452039,-79.952326,4,6,3,FALSE,none,quiet,casual,2,FALSE,TRUE,,FALSE,,
1,McFarland,WI,43.012505,-89.303778,3,12,3,TRUE,full_bar,average,casual,2,FALSE,FALSE,,FALSE,,
1,Sun City,AZ,33.603332,-112.294278,1.5,5,3,FALSE,none,average,casual,1,FALSE,TRUE,,FALSE,TRUE,
1,Karlsruhe,BW,49.0068451,8.3948235,3,29,3,TRUE,full_bar,,casual,2,FALSE,TRUE,no,TRUE,,
1,Tempe,AZ,33.379567,-111.893419,2.5,4,3,FALSE,full_bar,loud,casual,2,FALSE,TRUE,,FALSE,FALSE,
1,Laval,QC,45.5446799,-73.7525987,3.5,7,3,TRUE,full_bar,average,dressy,3,,FALSE,,FALSE,,
0,Charlotte,NC,35.266146,-80.836885,2.5,3,3,TRUE,none,average,casual,1,FALSE,,,FALSE,,
1,Las Vegas,NV,36.0786,-115.2114,2.5,6,3,FALSE,beer_and_wine,average,casual,2,FALSE,FALSE,,FALSE,TRUE,
1,Charlotte,NC,35.1469298,-80.89607064,3,6,3,TRUE,none,quiet,casual,1,FALSE,FALSE,,FALSE,,
1,Montral,QC,45.5014114,-73.5705109,2,7,3,TRUE,beer_and_wine,quiet,casual,2,FALSE,TRUE,,FALSE,,
1,Pittsburgh,PA,40.38506575,-79.97837931,5,10,3,TRUE,none,quiet,casual,2,TRUE,,,FALSE,,
1,Buckeye,AZ,33.44032858,-112.551914,2.5,7,3,TRUE,none,average,casual,1,FALSE,TRUE,,FALSE,TRUE,
1,Montral,QC,45.519099,-73.5963442,4,4,3,TRUE,full_bar,average,dressy,4,FALSE,FALSE,,TRUE,,
0,West Mifflin,PA,40.3736775,-79.8737336,3.5,5,3,TRUE,none,quiet,casual,1,TRUE,TRUE,,FALSE,,
1,Las Vegas,NV,36.2401554,-115.062334,3,3,3,TRUE,full_bar,average,casual,2,FALSE,TRUE,,TRUE,,
1,Montreal,QC,45.5352127,-73.5773878,4.5,20,3,TRUE,none,quiet,casual,3,FALSE,TRUE,,TRUE,FALSE,
1,Westmount,QC,45.487328,-73.590828,5,4,3,TRUE,full_bar,quiet,dressy,3,FALSE,FALSE,,TRUE,FALSE,
0,Westmount,QC,45.4782562,-73.604276,4,9,3,TRUE,none,average,casual,1,TRUE,TRUE,,TRUE,,
1,Sainte-Anne-De-Bellevue,QC,45.4033431,-73.9511366,2.5,3,3,TRUE,full_bar,,,2,TRUE,TRUE,,TRUE,FALSE,
1,Edinburgh,EDH,55.9432773,-3.1829209,4,27,3,TRUE,beer_and_wine,quiet,casual,2,FALSE,TRUE,,FALSE,,
1,Edinburgh,EDH,55.9506248,-3.1864039,5,10,3,TRUE,full_bar,average,dressy,3,FALSE,TRUE,,FALSE,FALSE,
1,Edinburgh,EDH,55.9400397,-3.2045317,4,5,3,TRUE,beer_and_wine,quiet,casual,2,FALSE,TRUE,,FALSE,,
1,Indian Trail,NC,35.0786143,-80.6534424,3,5,3,TRUE,none,average,casual,1,FALSE,TRUE,,FALSE,,
1,Madison,WI,43.0699604,-89.3259043,3.5,14,3,FALSE,full_bar,,casual,1,TRUE,FALSE,,FALSE,,
0,Charlotte,NC,35.3070841,-80.7209367,3.5,4,3,TRUE,none,average,casual,1,TRUE,FALSE,,FALSE,,
0,Laval,QC,45.5390229,-73.74465,2.5,4,3,TRUE,none,quiet,,1,FALSE,FALSE,,FALSE,FALSE,
1,Scottsdale,AZ,33.4626163,-111.9269743,2.5,8,3,FALSE,none,average,casual,1,FALSE,TRUE,,FALSE,,
1,Ettlingen,BW,48.94136055,8.405290785,4,16,3,TRUE,full_bar,,casual,2,,TRUE,outdoor,TRUE,,
1,Tempe,AZ,33.3478761,-111.909978,4,8,3,FALSE,none,quiet,casual,2,FALSE,TRUE,,FALSE,,
1,Phoenix,AZ,33.4801098,-111.9951255,5,3,3,TRUE,none,average,casual,1,FALSE,FALSE,,TRUE,,
1,Pittsburgh,PA,40.4607908,-79.9478264,4.5,4,3,TRUE,none,quiet,casual,2,FALSE,TRUE,,TRUE,TRUE,
